Archetype Name,Class Skills,Weapon & Armor,Brawler’s Cunning,Martial Flexibility,Martial Training,Unarmed Strike,Bonus Combat Feat 2,Bonus Combat Feat 5,Bonus Combat Feat 8,Bonus Combat Feat 11,Bonus Combat Feat 14,Bonus Combat Feat 17,Bonus Combat Feat 20,Brawler’s Flurry,Maneuver Training 3,Maneuver Training 7,Maneuver Training 11,Maneuver Training 15,Maneuver Training 19,AC Bonus,Knockout,Brawler’s Strike,Close Weapon Mastery,Awesome Blow,Improved Awesome Blow
Battle Dancer,,C,C,,,,,,,,,,,C,,,,,,X,X,,,,
Beast-Wrestler,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,
Bouncer,,,,C,,,X,,,,,,,,,,,,,,,,C,,
Constructed Pugilist,C,,,X,,,C,C,C,C,C,C,C,,,,,,,,,,,,
Exemplar,,,,,,X,,,,,,,,,X,X,X,X,X,X,,X,,,
Feral Striker,,,,X,,,,,,,,,,,,,,,,,,,,,
Hinyasi,,C,,,,,X,,,,,,,,,,,,,,X,,X,,
Living Avalanche,,,,,,,X,X,,,,,,,C,C,C,C,C,X,,,,X,X
Mutagenic Mauler,,,,X,,,,,,,,,,,,,,,,X,,,,,
Shield Champion,,C,,,,,,,,,,,,,X,X,X,X,X,,,X,,,
Snakebite Striker,C,,,X,,,,,,,,,,,,,,,,,,,,,
Steel-Breaker,,,,,,,,,,,,,,,C,C,C,C,C,,,X,,,
Strangler,C,,,,,X,,,,,,,,X,,,,,,X,C,,,X,X
Strong-Side Boxer,,,,,,,,,,,,,,,X,X,X,X,X,X,,,X,,
Turfer,,,,,,,,,,,,,,,X,X,X,X,X,,X,,,,
Venomfist,,,,,,C,,,,,,,,,,,,,,,X,,X,,
Verdant Grappler,,,,,,,X,,,X,,,,,C,C,C,C,C,,,,X,,
Wild Child,C,,,,,,X,X,X,X,X,X,X,,C,C,C,C,C,,,,X,,
Winding Path Renegade,,,,,,,X,,X,,X,,,,,,,,,X,,,,,
