Archetype Name,Class Skills,Weapon & Armor,Studied Target 1,Studied Target 5,Studied Target 10,Studied Target 15,Studied Target 20,Track,Slayer Talent 2,Slayer Talent 4,Slayer Talent 6,Slayer Talent 8,Slayer Talent 10,Slayer Talent 12,Slayer Talent 14,Slayer Talent 16,Slayer Talent 18,Slayer Talent 20,Sneak Attack 3,Sneak Attack 6,Sneak Attack 9,Sneak Attack 12,Sneak Attack 15,Sneak Attack 18,Stalker,Advanced Talents,Swift Tracker,Slayer’s Advance,Quarry,Improved Quarry,Master Slayer
Ankou’s Shadow,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,X,,,,,C,C
Avalancher,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,X,,X,,X,X,X
Bloody Jake,,C,X,C,C,C,C,,,X,X,X,,X,,X,,,,,,,,,,,,X,,,
Bounty Hunter,,C,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,
Butterfly Blade,,,,,,,,,C,C,C,C,C,C,C,C,C,C,X,X,X,X,X,X,X,,X,,X,X,
Cleaner,,,,,,,,X,,X,,,,,,,,,,,,,,,X,,,,,,
Covenbane,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,,,
Cutthroat,C,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,
Deliverer,,C,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,
Dune Rider,,,X,X,X,X,X,X,,X,,X,,,,,,,,,,,,,X,,X,,,,X
Executioner,C,,C,C,C,C,C,,,C,,,C,,,,,,,,,,,,,,X,,X,X,
Family Hunter,,,C,C,C,C,C,,X,,X,,,,,,,,C,C,C,C,C,C,,,,,,,
Grave Warden,,,,,,,,,X,,,,X,,,,,,,,,,,,X,,,,,,
Guerrilla,,,,,,,,X,,,X,,,,,,,,,,,,,,,,X,,X,X,
Pureblade,,,,,,,,X,X,,,X,,,,,,,,,,,,,X,,,,,,X
Sniper,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
Spawn Slayer,,,C,C,C,C,C,,,,,,,,,,,,,,,,,,X,,,,,,X
Spire Driver,,,C,C,C,C,C,X,,,,,,,,,,,,,,,,,C,,X,X,C,C,
Spiritslayer,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,
Stygian Slayer,,C,,,,,,,,X,,,X,,,,,,,,,,,,X,,,,,,
Toxic Sniper,,C,C,C,C,C,C,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,
Turncoat,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,X,X,
Vanguard,,,,,,,,X,X,X,,,,,,,,,,,,,,,X,,,,,,
Velvet Blade,C,C,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,
Witch Killer,C,,C,C,C,C,C,,,X,,,X,,,,,,,,,,,,,,,,,,
Woodland Sniper,,,,,,,,X,,,,,,,,,,,C,C,C,C,C,C,X,,X,X,,,
